"Hospital_ID,Hospital_Name,City,Hospital_Type,Beds,Daily_Patients,Avg_Wait_Time_Min,Contactless_Registration,Online_Appointment,Telemedicine,Digital_Health_Records,Cleanliness_Rating,Food_Service_Rating,Patient_Hospitality_Rating,CCTV_Coverage_Percentage,Security_Staff,Infection_Control_Score,Patient_Satisfaction,AI_Assisted_Services,Overall_Trend"
"H00078,Bengaluru Care Hospital 78,Mumbai,Multispeciality,718.0,756.0,102.0,YES,YES,No,Yes,2.2,2.0,3.5,48.0,139.0,56.0,2.7,No,Smart Hospital"
"H00079,Madurai Care Hospital 79,Pune,Government,1469.0,1718.0,46.0,Yes,YES,No,Yes,3.8,4.7,4.5,67.0,198.0,70.0,3.6,No,Smart Hospital"
"H00080,Hyderabad Care Hospital 80,Chennai,Government,1321.0,1512.0,100.0,yes,No,No,Yes,3.1,4.6,4.1,67.0,150.0,75.0,4.4,Yes,Green Hospital"
"H00081,Bengaluru Care Hospital 81,Hyderabad,Multispeciality,158.0,443.0,108.0,YES,No,No,Yes,5.0,2.1,2.5,47.0,133.0,100.0,4.4,yes,Digital Patient Care"
"H00082,Bengaluru Care Hospital 82,Madurai,Private,1003.0,362.0,58.0,Yes,Yes,No,Yes,3.6,4.6,2.2,49.0,195.0,65.0,3.5,No,Unknown"
"H00083,Kochi Care Hospital 83,Madurai,Government,1485.0,638.0,75.0,yes,No,No,No,2.2,3.7,3.9,97.0,114.0,77.0,4.1,YES,Enhanced Security"
"H00084,Hyderabad Care Hospital 84,Hyderabad,Specialty,1441.0,341.0,75.0,Yes,YES,No,Yes,3.5,3.5,3.5,52.0,102.0,97.0,3.8,YES,AI Healthcare"
"H00085,Chennai Care Hospital 85,Delhi,Private,1092.0,90.0,31.0,yes,YES,Yes,Yes,2.7,3.4,3.5,67.0,184.0,75.0,3.2,yes,Enhanced Security"
"H00086,Hyderabad Care Hospital 86,Mumbai,Specialty,203.0,2054.0,75.0,Yes,Yes,No,Yes,2.7,4.3,3.9,83.0,192.0,56.0,4.5,No,Unknown"
"H00087,Chennai Care Hospital 87,Madurai,Multispeciality,300.0,206.0,24.0,yes,No,No,No,4.1,3.5,3.9,44.0,87.0,59.0,3.2,No,Green Hospital"
"H00088,Pune Care Hospital 88,Chennai,Specialty,136.0,1341.0,108.0,Yes,Yes,No,Yes,4.4,4.0,2.6,67.0,191.0,100.0,4.7,YES,Smart Hospital"
"H00089,Delhi Care Hospital 89,Hyderabad,Specialty,1193.0,379.0,12.0,YES,No,No,No,4.7,4.6,3.4,38.0,117.0,82.0,3.2,No,Contactless Healthcare"
"H00090,Kochi Care Hospital 90,Coimbatore,Private,159.0,1134.0,44.0,YES,Yes,No,Yes,5.0,2.8,3.4,79.0,116.0,98.0,2.3,Yes,Digital Patient Care"
"H00091,Jaipur Care Hospital 91,Delhi,Private,183.0,1962.0,17.0,yes,NO,No,Yes,4.0,3.1,2.1,35.0,110.0,67.0,2.4,Yes,Green Hospital"
"H00092,Bengaluru Care Hospital 92,Hyderabad,Specialty,262.0,1480.0,38.0,yes,NO,No,No,3.5,3.5,3.5,35.0,188.0,76.0,3.7,No,Smart Hospital"
"H00093,Kochi Care Hospital 93,Coimbatore,Government,924.0,1128.0,132.0,No,NO,No,Yes,3.0,4.5,3.2,41.0,109.0,57.0,3.6,yes,Patient-Centric Care"
"H00094,Mumbai Care Hospital 94,Bengaluru,Multispeciality,613.0,2039.0,118.0,YES,NO,No,No,2.6,3.3,3.5,99.0,104.0,95.0,3.1,YES,Green Hospital"
"H00095,Kochi Care Hospital 95,Hyderabad,Government,1009.0,1744.0,75.0,yes,No,Yes,Yes,3.3,2.3,4.9,82.0,114.0,65.0,2.6,yes,Contactless Healthcare"
"H00096,Chennai Care Hospital 96,Mumbai,Specialty,299.0,130.0,71.0,YES,NO,No,Yes,3.2,3.5,3.5,99.0,116.0,75.0,4.6,Yes,Smart Hospital"
"H00097,Jaipur Care Hospital 97,Madurai,Multispeciality,800.8190675017397,369.0,5.0,YES,NO,No,No,3.2,3.1,2.2,67.0,87.0,80.0,2.4,YES,Digital Patient Care"
"H00098,Chennai Care Hospital 98,Mumbai,Private,678.0,2080.0,8.0,yes,Yes,No,No,5.0,4.1,3.0,91.0,164.0,54.0,4.1,YES,IoT Healthcare"
"H00099,Kochi Care Hospital 99,Chennai,Government,1176.0,1164.0,30.0,YES,Yes,Yes,Yes,3.5,2.1,3.5,71.0,151.0,96.0,3.6,YES,Digital Patient Care"
"H00100,Delhi Care Hospital 100,Hyderabad,Private,942.0,1991.0,102.0,No,NO,No,No,3.2,4.6,3.5,96.0,150.0,86.0,2.8,No,Patient-Centric Care"
"H00101,Coimbatore Care Hospital 101,Delhi,Private,798.0,942.0,27.0,YES,NO,No,Yes,4.3,4.1,3.2,41.0,43.0,75.0,3.5,No,Enhanced Security"
"H00102,Chennai Care Hospital 102,Chennai,Private,1315.0,1128.0,65.0,YES,No,Yes,No,3.5,4.3,4.7,36.0,42.0,75.0,3.5,yes,Digital Patient Care"
"H00103,Hyderabad Care Hospital 103,Hyderabad,Government,800.8190675017397,1967.0,128.0,YES,NO,No,No,3.5,4.8,2.7,95.0,129.0,73.0,4.5,Yes,AI Healthcare"
"H00104,Chennai Care Hospital 104,Mumbai,Government,1167.0,1595.0,63.0,YES,NO,No,Yes,3.3,2.2,4.1,96.0,51.0,78.0,4.2,YES,Enhanced Security"
"H00105,Hyderabad Care Hospital 105,Chennai,Government,1015.0,949.0,97.0,yes,No,Yes,No,3.4,4.3,3.4,43.0,9.0,52.0,4.6,No,Green Hospital"
"H00106,Coimbatore Care Hospital 106,Mumbai,Specialty,1102.0,2197.0,142.0,Yes,No,Yes,No,2.1,2.4,2.4,42.0,116.0,62.0,3.5,No,Patient-Centric Care"
"H00107,Madurai Care Hospital 107,Pune,Private,331.0,534.0,103.0,No,No,Yes,No,2.3,3.5,2.8,63.0,188.0,73.0,4.2,yes,Digital Patient Care"
"H00108,Coimbatore Care Hospital 108,Coimbatore,Private,1034.0,2161.0,20.0,No,No,No,No,4.0,4.0,4.1,66.0,216.0,56.0,5.0,No,Enhanced Security"
"H00109,Delhi Care Hospital 109,Madurai,Specialty,1054.0,1349.0,75.0,No,Yes,Yes,Yes,2.8,3.0,2.8,52.0,205.0,60.0,3.5,yes,AI Healthcare"
"H00110,Chennai Care Hospital 110,Kochi,Specialty,188.0,1292.0,136.0,YES,Yes,No,Yes,2.2,4.7,3.7,32.0,58.0,90.0,3.5,Yes,Smart Hospital"
"H00111,Madurai Care Hospital 111,Delhi,Private,1037.0,1430.0,122.0,YES,Yes,Yes,Yes,2.5,2.9,2.7,67.0,188.0,97.0,2.4,YES,Unknown"
"H00112,Chennai Care Hospital 112,Jaipur,Private,752.0,1563.0,93.0,yes,Yes,Yes,No,3.1,3.4,4.8,77.0,155.0,68.0,4.2,yes,Enhanced Security"
"H00113,Delhi Care Hospital 113,Coimbatore,Specialty,885.0,1387.0,61.0,YES,Yes,Yes,No,4.3,4.7,2.9,73.0,116.0,83.0,3.9,yes,Enhanced Security"
"H00114,Pune Care Hospital 114,Bengaluru,Government,636.0,1769.0,20.0,Yes,No,Yes,Yes,3.5,2.8,3.4,65.0,52.0,71.0,2.3,YES,IoT Healthcare"
"H00115,Chennai Care Hospital 115,Coimbatore,Government,923.0,2158.0,13.0,No,Yes,Yes,No,2.3,4.3,3.5,89.0,158.0,71.0,4.6,yes,IoT Healthcare"
"H00116,Delhi Care Hospital 116,Coimbatore,Multispeciality,1153.0,1933.0,11.0,yes,Yes,Yes,Yes,3.2,3.9,3.5,61.0,100.0,61.0,2.4,Yes,Digital Patient Care"
"H00117,Madurai Care Hospital 117,Hyderabad,Specialty,800.8190675017397,1128.0,97.0,yes,YES,Yes,No,3.5,3.2,4.5,48.0,161.0,97.0,2.9,No,Digital Patient Care"
"H00118,Madurai Care Hospital 118,Chennai,Government,792.0,1051.0,18.0,YES,No,Yes,Yes,3.5,3.6,2.4,78.0,218.0,50.0,3.1,Yes,Patient-Centric Care"
"H00119,Delhi Care Hospital 119,Delhi,Private,636.0,1097.0,79.0,YES,NO,Yes,Yes,3.7,3.2,5.0,84.0,154.0,86.0,4.8,No,Patient-Centric Care"
"H00120,Pune Care Hospital 120,Hyderabad,Specialty,815.0,277.0,105.0,YES,No,No,Yes,5.0,3.7,2.0,34.0,72.0,82.0,3.5,Yes,Green Hospital"
"H00121,Kochi Care Hospital 121,Hyderabad,Government,1491.0,974.0,37.0,yes,YES,Yes,No,4.2,4.5,3.8,67.0,179.0,61.0,2.8,yes,Enhanced Security"
"H00122,Hyderabad Care Hospital 122,Delhi,Specialty,866.0,1066.0,150.0,YES,Yes,No,No,3.4,2.5,4.5,62.0,121.0,90.0,2.7,yes,Digital Patient Care"
"H00123,Chennai Care Hospital 123,Kochi,Multispeciality,169.0,1128.0,49.0,Yes,NO,Yes,Yes,3.5,3.5,3.2,87.0,147.0,79.0,4.1,yes,IoT Healthcare"
"H00124,Pune Care Hospital 124,Delhi,Multispeciality,826.0,1128.0,34.0,No,No,No,Yes,3.8,2.1,3.0,65.0,125.0,75.0,3.6,Yes,Enhanced Security"
"H00125,Delhi Care Hospital 125,Coimbatore,Specialty,351.0,1930.0,75.0,Yes,No,No,Yes,3.5,2.6,3.3,90.0,196.0,78.0,3.9,YES,IoT Healthcare"
"H00126,Chennai Care Hospital 126,Chennai,Private,447.0,1419.0,67.0,Yes,NO,No,No,3.5,4.2,3.0,73.0,82.0,75.0,3.5,No,Patient-Centric Care"
"H00127,Madurai Care Hospital 127,Hyderabad,Private,862.0,1013.0,75.0,Yes,No,No,Yes,2.8,2.9,2.3,75.0,145.0,75.0,2.2,yes,Unknown"
"H00128,Delhi Care Hospital 128,Bengaluru,Specialty,392.0,1831.0,24.0,No,NO,No,No,2.1,4.7,3.2,93.0,133.0,84.0,2.1,yes,IoT Healthcare"
"H00129,Bengaluru Care Hospital 129,Kochi,Specialty,1094.0,2007.0,84.0,Yes,No,Yes,No,2.7,3.1,2.9,48.0,132.0,97.0,2.6,YES,Unknown"
"H00130,Chennai Care Hospital 130,Hyderabad,Government,841.0,1128.0,111.0,YES,YES,Yes,Yes,3.7,3.5,3.2,67.0,14.0,75.0,4.2,YES,Patient-Centric Care"
"H00131,Bengaluru Care Hospital 131,Jaipur,Government,105.0,1984.0,62.0,YES,Yes,Yes,Yes,3.5,3.9,4.8,95.0,211.0,59.0,4.5,No,Digital Patient Care"
"H00132,Delhi Care Hospital 132,Mumbai,Specialty,1464.0,702.0,98.0,No,No,No,Yes,4.8,2.9,3.5,55.0,161.0,93.0,4.3,Yes,IoT Healthcare"
"H00133,Bengaluru Care Hospital 133,Hyderabad,Multispeciality,800.8190675017397,539.0,62.0,Yes,No,No,Yes,3.5,2.8,3.9,68.0,206.0,96.0,3.4,Yes,Enhanced Security"
"H00134,Kochi Care Hospital 134,Delhi,Private,415.0,1635.0,23.0,No,Yes,No,Yes,3.8,3.5,3.2,97.0,120.0,54.0,3.6,Yes,IoT Healthcare"
"H00135,Delhi Care Hospital 135,Coimbatore,Multispeciality,605.0,628.0,19.0,YES,No,No,Yes,2.0,3.1,3.5,95.0,194.0,88.0,3.7,Yes,Smart Hospital"
"H00136,Kochi Care Hospital 136,Hyderabad,Specialty,653.0,340.0,41.0,YES,NO,Yes,No,4.2,2.5,2.2,98.0,116.0,79.0,3.9,Yes,Green Hospital"
"H00137,Mumbai Care Hospital 137,Chennai,Government,1252.0,1444.0,48.0,YES,YES,No,Yes,3.5,3.5,2.1,82.0,162.0,80.0,3.5,No,Green Hospital"
"H00138,Madurai Care Hospital 138,Coimbatore,Government,1449.0,1374.0,5.0,No,No,No,No,2.2,3.1,4.3,54.0,70.0,58.0,2.2,YES,AI Healthcare"
"H00139,Pune Care Hospital 139,Coimbatore,Specialty,850.0,56.0,84.0,YES,No,No,No,3.5,4.7,3.3,45.0,175.0,73.0,3.9,yes,Patient-Centric Care"
"H00140,Bengaluru Care Hospital 140,Pune,Specialty,204.0,1128.0,26.0,YES,No,No,Yes,3.5,3.5,4.1,36.0,116.0,94.0,4.5,Yes,Contactless Healthcare"
"H00141,Jaipur Care Hospital 141,Pune,Specialty,1250.0,787.0,144.0,Yes,No,Yes,Yes,2.5,4.9,4.4,30.0,116.0,54.0,4.9,yes,AI Healthcare"
"H00142,Madurai Care Hospital 142,Chennai,Specialty,513.0,2192.0,84.0,No,NO,No,Yes,4.1,4.5,3.9,85.0,123.0,78.0,2.7,Yes,Green Hospital"
"H00143,Coimbatore Care Hospital 143,Chennai,Specialty,800.8190675017397,1389.0,120.0,yes,Yes,No,Yes,4.5,2.2,3.3,31.0,154.0,55.0,2.7,Yes,Smart Hospital"
"H00144,Kochi Care Hospital 144,Coimbatore,Multispeciality,557.0,2112.0,84.0,YES,YES,Yes,Yes,4.9,2.8,3.6,99.0,49.0,78.0,2.4,No,Green Hospital"
