Hospital_ID,Hospital_Name,City,Hospital_Type,Beds,Daily_Patients,Avg_Wait_Time_Min,Contactless_Registration,Online_Appointment,Telemedicine,Digital_Health_Records,Cleanliness_Rating,Food_Service_Rating,Patient_Hospitality_Rating,CCTV_Coverage_Percentage,Security_Staff,Infection_Control_Score,Patient_Satisfaction,AI_Assisted_Services,Overall_Trend
H00038,Coimbatore Care Hospital 38,Pune,Specialty,1456,400,48,YES,Yes,Yes,Yes,2.3,3.5,2.9,54,207,56,4.6,,Digital Patient Care
H00039,Coimbatore Care Hospital 39,Kochi,Specialty,,210,46,Yes,NO,No,No,2.8,2.4,3.3,,95,100,2.2,No,Green Hospital
H00040,Chennai Care Hospital 40,Madurai,Multispeciality,,1086,107,Yes,NO,,,4.5,2.4,3.7,45,21,90,5,No,Enhanced Security
H00041,Bengaluru Care Hospital 41,Coimbatore,Multispeciality,1293,,117,Yes,,Yes,No,4.6,3.2,4.9,66,,86,3.3,,
H00042,Chennai Care Hospital 42,,Private,310,248,,yes,NO,Yes,Yes,3.1,4.7,4.7,37,130,65,4.4,YES,Digital Patient Care
H00043,Jaipur Care Hospital 43,Bengaluru,Specialty,1470,1516,25,Yes,,Yes,Yes,3.1,3.2,,83,114,69,4.1,No,AI Healthcare
H00044,Bengaluru Care Hospital 44,Delhi,Multispeciality,1275,745,50,YES,YES,No,Yes,4.4,2.1,2.4,34,46,,4.5,No,Smart Hospital
H00045,Pune Care Hospital 45,Jaipur,Specialty,377,,11,Yes,NO,No,No,2.7,2.9,4.9,42,,100,3.3,,Enhanced Security
H00046,Bengaluru Care Hospital 46,Pune,Government,199,1675,33,,YES,Yes,Yes,4.1,2.3,3.9,65,46,67,2.3,No,
H00047,Hyderabad Care Hospital 47,Jaipur,Specialty,1419,252,135,YES,NO,No,Yes,3.9,4.5,,66,,82,4.9,No,IoT Healthcare
H00048,Jaipur Care Hospital 48,Delhi,,946,485,37,YES,YES,No,Yes,4.8,2.5,4.6,60,111,92,3.3,,Contactless Healthcare
H00049,Kochi Care Hospital 49,Chennai,Government,814,,82,yes,YES,No,Yes,3.8,2.4,3.7,88,36,66,3.3,Yes,Enhanced Security
H00050,Bengaluru Care Hospital 50,Madurai,Private,1322,1514,76,No,Yes,No,Yes,4.1,2.2,3.5,94,214,56,2.1,yes,AI Healthcare
H00051,Bengaluru Care Hospital 51,Pune,Specialty,159,,22,YES,,No,No,3.3,,,86,55,87,4.7,No,AI Healthcare
H00052,Kochi Care Hospital 52,Bengaluru,Specialty,218,1677,23,yes,YES,No,Yes,4.7,2.3,2.7,49,210,95,4.5,Yes,Enhanced Security
H00053,Bengaluru Care Hospital 53,Kochi,Government,561,442,121,yes,NO,Yes,No,3.4,3.4,2.7,99,51,57,2.5,,Contactless Healthcare
H00054,Madurai Care Hospital 54,Bengaluru,Government,1188,70,40,No,YES,Yes,Yes,4.3,2.9,2.1,76,53,54,4.7,yes,Contactless Healthcare
H00055,Jaipur Care Hospital 55,Mumbai,Government,1025,1803,121,yes,NO,,No,2.7,,3.9,74,,,4.5,No,Enhanced Security
H00056,Mumbai Care Hospital 56,Pune,Private,335,1583,14,YES,NO,Yes,No,4.8,,2.9,34,108,84,4.2,YES,Digital Patient Care
H00057,Kochi Care Hospital 57,Mumbai,Specialty,602,394,66,YES,No,Yes,Yes,4,2.6,2.6,98,127,95,4.4,yes,
H00058,Mumbai Care Hospital 58,Bengaluru,Private,,257,69,,NO,No,Yes,4.4,3.1,3.8,97,193,71,2.1,,Contactless Healthcare
H00059,Delhi Care Hospital 59,Mumbai,Government,345,1568,,Yes,Yes,,No,4.4,2.4,3.7,43,23,88,3.6,yes,
H00060,Hyderabad Care Hospital 60,Mumbai,Private,465,2191,,yes,NO,,Yes,4.9,5,2.7,33,175,63,3.4,Yes,Patient-Centric Care
H00061,Delhi Care Hospital 61,Jaipur,Government,646,1950,43,No,Yes,No,Yes,2.9,3.3,3.4,76,88,64,4.7,Yes,Contactless Healthcare
H00062,Delhi Care Hospital 62,Pune,Multispeciality,713,812,30,Yes,No,No,Yes,2.8,,3.8,89,105,94,4.6,YES,Patient-Centric Care
H00063,Chennai Care Hospital 63,Coimbatore,Private,1053,1014,126,YES,NO,No,Yes,5,3,4.2,80,192,94,4.4,No,Smart Hospital
H00064,Pune Care Hospital 64,Pune,Government,1075,,128,,YES,No,No,4.7,2.6,3.6,61,,56,2.4,yes,Enhanced Security
H00065,Hyderabad Care Hospital 65,,Multispeciality,1235,661,,yes,No,No,Yes,4.3,4.7,4.9,71,147,98,,yes,IoT Healthcare
H00066,Pune Care Hospital 66,Hyderabad,Government,662,1446,26,No,NO,Yes,Yes,2.1,,2.5,30,5,52,,No,Contactless Healthcare
H00067,Delhi Care Hospital 67,Coimbatore,Government,728,1245,19,No,No,,No,4.5,3,4.2,74,198,99,4,,Patient-Centric Care
H00068,Delhi Care Hospital 68,Kochi,Private,743,168,62,yes,,Yes,,3,,4.4,62,220,84,3.3,YES,Green Hospital
H00069,Pune Care Hospital 69,Delhi,Private,141,624,13,No,Yes,Yes,No,2.2,4.3,4.9,45,,87,2.9,No,Contactless Healthcare
H00070,Chennai Care Hospital 70,Mumbai,Specialty,1056,1892,99,,No,Yes,,3.4,,3.3,79,102,69,3.6,,Digital Patient Care
H00071,Madurai Care Hospital 71,Madurai,Multispeciality,313,1703,77,YES,YES,Yes,Yes,2.1,4.3,4.1,99,214,85,3.9,yes,Enhanced Security
H00072,Kochi Care Hospital 72,Mumbai,Private,1222,2115,74,Yes,NO,No,Yes,2.9,3.6,3.6,88,,,4.4,yes,Enhanced Security
H00073,Delhi Care Hospital 73,Madurai,Government,665,70,22,yes,YES,No,Yes,2.5,4,2.4,56,96,59,4.4,YES,Smart Hospital
H00074,Bengaluru Care Hospital 74,Pune,Private,759,133,63,No,YES,No,Yes,2.5,4.1,4,79,215,51,4.6,No,Green Hospital
H00075,Delhi Care Hospital 75,Delhi,Government,1315,510,82,YES,YES,No,No,3.9,2.1,3.3,100,132,90,4,No,Green Hospital
H00076,Chennai Care Hospital 76,Bengaluru,Private,709,70,124,yes,NO,No,,2.1,3.5,3.6,62,,85,4.7,yes,IoT Healthcare
H00077,Chennai Care Hospital 77,Hyderabad,Government,349,944,9,Yes,Yes,No,No,2.6,4,3.6,79,81,50,4.7,yes,IoT Healthcare
H00078,Bengaluru Care Hospital 78,Mumbai,Multispeciality,718,756,102,,YES,No,Yes,2.2,2,,48,139,56,2.7,No,Smart Hospital
H00079,Madurai Care Hospital 79,Pune,Government,1469,1718,46,Yes,YES,No,,3.8,4.7,4.5,,198,70,3.6,No,Smart Hospital
H00080,Hyderabad Care Hospital 80,Chennai,Government,1321,1512,100,yes,No,No,Yes,3.1,4.6,4.1,,150,,4.4,Yes,Green Hospital
H00081,Bengaluru Care Hospital 81,,Multispeciality,158,443,108,,No,No,Yes,5,2.1,2.5,47,133,100,4.4,yes,Digital Patient Care
H00082,Bengaluru Care Hospital 82,Madurai,Private,1003,362,58,Yes,Yes,No,Yes,3.6,4.6,2.2,49,195,65,,,
H00083,Kochi Care Hospital 83,Madurai,Government,1485,638,,yes,No,No,No,2.2,3.7,3.9,97,114,77,4.1,YES,Enhanced Security
H00084,Hyderabad Care Hospital 84,Hyderabad,Specialty,1441,341,,Yes,YES,No,Yes,,3.5,,52,102,97,3.8,YES,AI Healthcare
H00085,Chennai Care Hospital 85,Delhi,Private,1092,90,31,yes,YES,Yes,Yes,2.7,3.4,,,184,,3.2,yes,Enhanced Security
H00086,Hyderabad Care Hospital 86,Mumbai,Specialty,203,2054,75,Yes,Yes,No,Yes,2.7,4.3,3.9,83,192,56,4.5,No,
H00087,Chennai Care Hospital 87,Madurai,Multispeciality,300,206,24,yes,,No,No,4.1,,3.9,44,87,59,3.2,,Green Hospital
H00088,Pune Care Hospital 88,Chennai,Specialty,136,1341,108,Yes,Yes,No,,4.4,4,2.6,,191,100,4.7,YES,Smart Hospital
H00089,Delhi Care Hospital 89,Hyderabad,Specialty,1193,379,12,,No,No,No,4.7,4.6,3.4,38,117,82,3.2,,Contactless Healthcare
H00090,Kochi Care Hospital 90,Coimbatore,Private,159,1134,44,,Yes,No,,5,2.8,3.4,79,,98,2.3,Yes,Digital Patient Care
H00091,Jaipur Care Hospital 91,Delhi,,183,1962,17,yes,NO,No,Yes,4,3.1,2.1,35,110,67,2.4,Yes,Green Hospital
H00092,Bengaluru Care Hospital 92,,Specialty,262,1480,38,yes,NO,No,No,,,,35,188,76,3.7,No,Smart Hospital
H00093,Kochi Care Hospital 93,Coimbatore,Government,924,,132,No,NO,No,Yes,3,4.5,3.2,41,109,57,3.6,yes,Patient-Centric Care
H00094,Mumbai Care Hospital 94,Bengaluru,Multispeciality,613,2039,118,YES,NO,No,No,2.6,3.3,,99,104,95,3.1,YES,Green Hospital
H00095,Kochi Care Hospital 95,,Government,1009,1744,,yes,No,Yes,Yes,3.3,2.3,4.9,82,114,65,2.6,yes,Contactless Healthcare
H00096,Chennai Care Hospital 96,Mumbai,Specialty,299,130,71,,NO,No,,3.2,,,99,,,4.6,Yes,Smart Hospital
H00097,Jaipur Care Hospital 97,Madurai,Multispeciality,,369,5,YES,NO,No,No,3.2,3.1,2.2,,87,80,2.4,YES,Digital Patient Care
H00098,Chennai Care Hospital 98,Mumbai,Private,678,2080,8,yes,Yes,No,No,5,4.1,3,91,164,54,4.1,YES,IoT Healthcare
H00099,Kochi Care Hospital 99,Chennai,Government,1176,1164,30,YES,Yes,Yes,Yes,,2.1,,71,151,96,3.6,YES,Digital Patient Care
H00100,Delhi Care Hospital 100,Hyderabad,Private,942,1991,102,No,NO,No,No,3.2,4.6,3.5,96,150,86,2.8,No,Patient-Centric Care
H00101,Coimbatore Care Hospital 101,Delhi,Private,798,942,27,YES,NO,No,Yes,4.3,4.1,3.2,41,43,75,,,Enhanced Security
H00102,Chennai Care Hospital 102,Chennai,Private,1315,,65,,,Yes,No,,4.3,4.7,36,42,,3.5,yes,Digital Patient Care
H00103,Hyderabad Care Hospital 103,Hyderabad,Government,,1967,128,YES,NO,No,No,,4.8,2.7,95,129,73,4.5,Yes,AI Healthcare
H00104,Chennai Care Hospital 104,Mumbai,Government,1167,1595,63,,NO,No,Yes,3.3,2.2,4.1,96,51,78,4.2,YES,Enhanced Security
H00105,Hyderabad Care Hospital 105,Chennai,Government,1015,949,97,yes,No,Yes,No,3.4,4.3,3.4,43,9,52,4.6,No,Green Hospital
H00106,Coimbatore Care Hospital 106,Mumbai,Specialty,1102,2197,142,Yes,No,,No,2.1,2.4,2.4,42,,62,3.5,No,Patient-Centric Care
H00107,Madurai Care Hospital 107,Pune,Private,331,534,103,No,No,Yes,No,2.3,,2.8,63,188,73,4.2,yes,Digital Patient Care
H00108,Coimbatore Care Hospital 108,Coimbatore,Private,1034,2161,20,No,,No,No,4,4,4.1,66,216,56,5,,Enhanced Security
H00109,Delhi Care Hospital 109,Madurai,Specialty,1054,1349,,No,Yes,Yes,,2.8,3,2.8,52,205,60,,yes,AI Healthcare
H00110,Chennai Care Hospital 110,Kochi,Specialty,188,1292,136,,Yes,No,,2.2,4.7,3.7,32,58,90,,Yes,Smart Hospital
H00111,Madurai Care Hospital 111,Delhi,Private,1037,1430,122,,Yes,,Yes,2.5,2.9,2.7,,188,97,2.4,YES,
H00112,Chennai Care Hospital 112,Jaipur,Private,752,1563,93,yes,Yes,Yes,No,3.1,3.4,4.8,77,155,68,4.2,yes,Enhanced Security
H00113,Delhi Care Hospital 113,Coimbatore,Specialty,885,1387,61,YES,Yes,Yes,No,4.3,4.7,2.9,73,,83,3.9,yes,Enhanced Security
H00114,Pune Care Hospital 114,Bengaluru,Government,636,1769,20,Yes,No,Yes,Yes,,2.8,3.4,65,52,71,2.3,YES,IoT Healthcare
H00115,Chennai Care Hospital 115,Coimbatore,,923,2158,13,No,Yes,,No,2.3,4.3,,89,158,71,4.6,yes,IoT Healthcare
H00116,Delhi Care Hospital 116,Coimbatore,Multispeciality,1153,1933,11,yes,Yes,Yes,Yes,3.2,3.9,,61,100,61,2.4,Yes,Digital Patient Care
H00117,Madurai Care Hospital 117,Hyderabad,Specialty,,,97,yes,YES,,No,3.5,3.2,4.5,48,161,97,2.9,No,Digital Patient Care
H00118,Madurai Care Hospital 118,Chennai,Government,792,1051,18,,No,Yes,Yes,,3.6,2.4,78,218,50,3.1,Yes,Patient-Centric Care
H00119,Delhi Care Hospital 119,Delhi,Private,636,1097,79,YES,NO,Yes,Yes,3.7,3.2,5,84,154,86,4.8,,Patient-Centric Care
H00120,Pune Care Hospital 120,Hyderabad,Specialty,815,277,105,YES,No,No,,5,3.7,2,34,72,82,,Yes,Green Hospital
H00121,Kochi Care Hospital 121,,Government,1491,974,37,yes,YES,Yes,No,4.2,4.5,3.8,67,179,61,2.8,yes,Enhanced Security
H00122,Hyderabad Care Hospital 122,Delhi,Specialty,866,1066,150,YES,Yes,No,No,3.4,2.5,4.5,62,121,90,2.7,yes,Digital Patient Care
H00123,Chennai Care Hospital 123,Kochi,Multispeciality,169,,49,Yes,NO,Yes,Yes,3.5,,3.2,87,147,79,4.1,yes,IoT Healthcare
H00124,Pune Care Hospital 124,Delhi,Multispeciality,826,,34,No,No,,Yes,3.8,2.1,3,65,125,,3.6,Yes,Enhanced Security
H00125,Delhi Care Hospital 125,Coimbatore,Specialty,351,1930,,Yes,No,No,Yes,3.5,2.6,3.3,90,196,78,3.9,YES,IoT Healthcare
H00126,Chennai Care Hospital 126,Chennai,Private,447,1419,67,Yes,NO,No,No,,4.2,3,73,82,75,,No,Patient-Centric Care
H00127,Madurai Care Hospital 127,,,862,1013,,Yes,,,Yes,2.8,2.9,2.3,75,145,,2.2,yes,
H00128,Delhi Care Hospital 128,Bengaluru,Specialty,392,1831,24,No,NO,No,No,2.1,4.7,3.2,93,133,84,2.1,yes,IoT Healthcare
H00129,Bengaluru Care Hospital 129,Kochi,,1094,2007,84,Yes,No,Yes,No,2.7,3.1,2.9,48,132,97,2.6,YES,
H00130,Chennai Care Hospital 130,,Government,841,,111,YES,YES,,Yes,3.7,,3.2,67,14,75,4.2,YES,Patient-Centric Care
H00131,Bengaluru Care Hospital 131,Jaipur,Government,105,1984,62,YES,Yes,Yes,Yes,,3.9,4.8,95,211,59,4.5,No,Digital Patient Care
H00132,Delhi Care Hospital 132,Mumbai,Specialty,1464,702,98,No,No,No,Yes,4.8,2.9,,55,161,93,4.3,Yes,IoT Healthcare
H00133,Bengaluru Care Hospital 133,Hyderabad,Multispeciality,,539,62,Yes,No,No,Yes,3.5,2.8,3.9,68,206,96,3.4,Yes,Enhanced Security
H00134,Kochi Care Hospital 134,Delhi,Private,415,1635,23,No,Yes,No,Yes,3.8,,3.2,97,120,54,3.6,Yes,IoT Healthcare
H00135,Delhi Care Hospital 135,Coimbatore,Multispeciality,605,628,19,YES,No,No,Yes,2,3.1,3.5,95,194,88,3.7,Yes,Smart Hospital
H00136,Kochi Care Hospital 136,Hyderabad,Specialty,653,340,41,,NO,Yes,No,4.2,2.5,2.2,98,,79,3.9,Yes,Green Hospital
H00137,Mumbai Care Hospital 137,Chennai,Government,1252,1444,48,YES,YES,No,,3.5,,2.1,82,162,80,,,Green Hospital
H00138,Madurai Care Hospital 138,Coimbatore,Government,1449,1374,5,No,,No,No,2.2,3.1,4.3,54,70,58,2.2,YES,AI Healthcare
H00139,Pune Care Hospital 139,Coimbatore,Specialty,850,56,84,YES,No,No,No,,4.7,3.3,45,175,73,3.9,yes,Patient-Centric Care
H00140,Bengaluru Care Hospital 140,Pune,Specialty,204,,26,YES,,No,,,,4.1,36,,94,4.5,Yes,Contactless Healthcare
H00141,Jaipur Care Hospital 141,Pune,Specialty,1250,787,144,Yes,No,Yes,Yes,2.5,4.9,4.4,30,,54,4.9,yes,AI Healthcare
H00142,Madurai Care Hospital 142,Chennai,Specialty,513,2192,84,No,NO,No,Yes,4.1,4.5,3.9,85,123,78,2.7,Yes,Green Hospital
H00143,Coimbatore Care Hospital 143,Chennai,Specialty,,1389,120,yes,Yes,No,,4.5,2.2,3.3,31,154,55,2.7,Yes,Smart Hospital
H00144,Kochi Care Hospital 144,Coimbatore,Multispeciality,557,2112,84,,YES,Yes,Yes,4.9,2.8,3.6,99,49,78,2.4,No,Green Hospital
H00145,Coimbatore Care Hospital 145,Chennai,Multispeciality,766,,16,yes,NO,,No,4.9,4.8,2.3,52,149,94,,Yes,Contactless Healthcare
H00146,Hyderabad Care Hospital 146,Hyderabad,Specialty,1233,1380,125,,Yes,No,No,4.2,4.3,2.2,57,205,82,3,Yes,Smart Hospital
H00147,Chennai Care Hospital 147,Hyderabad,Private,843,,126,Yes,Yes,No,Yes,3.6,3,2,45,121,100,,,
H00148,Hyderabad Care Hospital 148,Jaipur,Government,1228,552,100,,NO,Yes,Yes,3.1,4.4,4.8,35,207,64,2.4,Yes,Digital Patient Care
H00149,Madurai Care Hospital 149,Coimbatore,Specialty,232,509,41,yes,Yes,No,Yes,2.1,3.9,2.6,72,196,50,,yes,AI Healthcare
H00150,Kochi Care Hospital 150,Jaipur,Specialty,1165,,48,No,NO,Yes,No,3.6,4.6,3.6,37,145,57,2.5,No,Digital Patient Care
H00151,Mumbai Care Hospital 151,Delhi,Multispeciality,123,1060,116,,,No,Yes,,4.4,,92,177,52,4.3,No,Contactless Healthcare
H00152,Coimbatore Care Hospital 152,Madurai,Government,275,660,116,Yes,Yes,No,No,3.5,3.5,4.9,36,102,,2.8,YES,Enhanced Security
H00153,Pune Care Hospital 153,,Multispeciality,131,1467,9,YES,YES,Yes,,4.1,3.8,3.1,33,64,68,4.2,Yes,
H00154,Jaipur Care Hospital 154,Mumbai,Government,1035,1167,58,YES,Yes,No,No,4.7,4.1,4.1,,,96,,YES,Digital Patient Care
H00155,Bengaluru Care Hospital 155,,Specialty,505,63,121,Yes,NO,Yes,No,2,3.6,2.1,58,133,86,3.7,YES,AI Healthcare
H00156,Kochi Care Hospital 156,Bengaluru,Government,1225,960,8,YES,Yes,Yes,No,2.2,4.6,4,68,47,84,2.6,Yes,AI Healthcare
H00157,Mumbai Care Hospital 157,,Government,1486,1591,21,yes,YES,Yes,No,2.7,3.5,2.1,99,140,92,4.1,YES,Contactless Healthcare
H00158,Bengaluru Care Hospital 158,Mumbai,Government,264,835,99,No,YES,No,No,3.2,4.4,3.1,33,87,96,3.4,Yes,
H00159,Mumbai Care Hospital 159,Bengaluru,,,514,,yes,No,Yes,,4.3,3.5,2.7,57,220,95,2.2,yes,AI Healthcare
H00160,Mumbai Care Hospital 160,Kochi,Government,141,1559,107,yes,YES,Yes,Yes,3.3,4.9,3.7,35,218,85,3.6,YES,Smart Hospital
H00161,Pune Care Hospital 161,Chennai,,,1086,34,YES,,No,No,2.6,3.5,4.9,37,54,89,4,YES,Enhanced Security
H00162,Coimbatore Care Hospital 162,Bengaluru,Specialty,385,1947,26,Yes,NO,No,No,,3.2,4.7,41,120,66,,yes,Contactless Healthcare
H00163,Pune Care Hospital 163,Jaipur,Private,660,1165,106,Yes,Yes,No,No,2.6,3.7,4.5,80,200,,4.4,yes,
H00164,Jaipur Care Hospital 164,Mumbai,Multispeciality,302,934,99,yes,YES,No,No,2.9,2.6,4.2,41,34,78,3.5,Yes,Digital Patient Care
H00165,Delhi Care Hospital 165,Chennai,,651,2185,149,yes,Yes,,No,2.9,2,2,,22,57,3.4,No,Digital Patient Care
H00166,Hyderabad Care Hospital 166,Hyderabad,Multispeciality,972,1520,147,No,,No,Yes,,5,3.4,41,7,90,2.5,No,Enhanced Security
H00167,Kochi Care Hospital 167,,Specialty,982,1742,,yes,,,No,,2,4.9,57,47,71,4.6,YES,Enhanced Security
H00168,Delhi Care Hospital 168,Delhi,Specialty,,567,133,Yes,No,No,No,2.3,3.4,3.5,78,115,,2.1,,IoT Healthcare
H00169,Chennai Care Hospital 169,Pune,Specialty,146,2177,94,yes,NO,No,,4.6,3.4,2.5,94,122,64,4.9,No,
H00170,Coimbatore Care Hospital 170,Jaipur,Private,491,425,93,YES,,No,Yes,4.6,4.2,2.8,45,133,96,3.3,Yes,IoT Healthcare
H00171,Coimbatore Care Hospital 171,Jaipur,Multispeciality,1264,685,65,yes,,No,No,2.4,2.2,3,70,170,88,4,yes,
H00172,Jaipur Care Hospital 172,Kochi,Multispeciality,1124,379,111,Yes,Yes,Yes,Yes,3.4,3.5,,63,67,70,3.4,,Digital Patient Care
H00173,Madurai Care Hospital 173,,Government,924,845,114,yes,YES,Yes,Yes,2.6,2.5,3.9,,160,93,2.4,,Patient-Centric Care
H00174,Kochi Care Hospital 174,Hyderabad,,530,,31,Yes,YES,No,Yes,3.6,,4.2,,108,65,2.7,yes,AI Healthcare
H00175,Delhi Care Hospital 175,Madurai,,908,1964,144,Yes,Yes,Yes,No,3.7,4,4.7,78,182,90,3.9,Yes,Contactless Healthcare
H00176,Hyderabad Care Hospital 176,Coimbatore,Private,1419,519,39,YES,Yes,No,Yes,,2.1,3.9,46,69,62,2.6,YES,Digital Patient Care
H00177,Kochi Care Hospital 177,Coimbatore,Multispeciality,1380,,49,Yes,,No,No,4.8,2.1,3,83,58,56,2.3,Yes,Green Hospital
H00178,Chennai Care Hospital 178,Madurai,Private,1026,481,123,YES,Yes,No,Yes,,2,4.4,58,69,61,,Yes,Enhanced Security
H00179,Bengaluru Care Hospital 179,Bengaluru,Multispeciality,501,294,145,YES,YES,Yes,Yes,3.3,2.3,3,100,91,68,,YES,Contactless Healthcare
H00180,Delhi Care Hospital 180,Jaipur,Specialty,608,1675,146,YES,NO,,No,4.1,4,3.2,,,96,2.8,No,IoT Healthcare
H00181,Delhi Care Hospital 181,Kochi,Multispeciality,623,441,18,No,No,Yes,Yes,4.3,4.4,4.3,42,70,63,2.9,YES,IoT Healthcare
H00182,Jaipur Care Hospital 182,Chennai,Government,1402,439,142,No,No,No,,3,3.2,4.7,43,216,51,4.5,Yes,IoT Healthcare
