Order_ID,Order_Date,Ship_Date,Customer_ID,Gender,Age,Region,Category,Freight_Mode,Quantity,Unit_Price,Discount_Pct,Original_Amount,Sales,COGS,Freight_Cost,Profit,Profit_Margin_Pct,Delivery_Days,Year,Month,Month_Name,Age_Group,Low_Margin
13,2023-08-05,2023-08-06,CUST013,Male,22,East,Electronics,Economy,3,500,10.0,1500,1350.0,837.0,33.47,479.53,35.52,15,2023,8,Aug,18-25,False
14,2023-01-17,2023-01-20,CUST014,Male,64,,Clothing,Economy,4,30,20.0,120,96.0,52.8,17.01,26.19,27.28,19,2023,1,Jan,56-64,True
15,2023-01-16,2023-01-19,CUST015,Female,42,West,Electronics,Standard,4,500,5.0,2000,1900.0,1178.0,68.2,653.8,34.41,6,2023,1,Jan,36-45,False
16,2023-02-17,2023-02-18,CUST016,Male,19,North,Clothing,Standard,3,500,5.0,1500,1425.0,783.75,44.97,596.28,41.84,6,2023,2,Feb,18-25,False
17,2023-04-22,2023-04-24,CUST017,Female,27,West,Clothing,Standard,4,25,20.0,100,80.0,44.0,55.62,-19.62,-24.52,9,2023,4,Apr,26-35,True
19,2023-09-16,2023-09-17,CUST019,Female,62,West,Clothing,Economy,2,25,25.0,50,37.5,20.62,6.39,10.49,27.97,12,2023,9,Sep,56-64,True
20,2023-11-05,2023-11-08,CUST020,Male,22,East,Clothing,Standard,3,300,20.0,900,720.0,396.0,57.85,266.15,36.97,8,2023,11,Nov,18-25,False
21,2023-01-14,2023-01-16,CUST021,Female,50,,Beauty,Express,1,500,15.0,500,425.0,204.0,68.54,152.46,35.87,1,2023,1,Jan,46-55,False
22,2023-10-15,2023-10-16,CUST022,Male,18,North,Clothing,Standard,2,50,15.0,100,85.0,46.75,35.05,3.2,3.76,8,2023,10,Oct,18-25,True
23,2023-04-12,2023-04-13,CUST023,Female,35,South,Clothing,Economy,4,30,0.0,120,120.0,66.0,45.73,8.27,6.89,19,2023,4,Apr,26-35,True
24,2023-11-29,2023-11-30,CUST024,Female,49,West,Clothing,Priority,1,300,5.0,300,285.0,156.75,19.41,108.84,38.19,3,2023,11,Nov,46-55,False
25,2023-12-26,2023-12-28,CUST025,Female,64,West,Beauty,Priority,1,50,0.0,50,50.0,24.0,29.31,-3.31,-6.62,4,2023,12,Dec,56-64,True
26,2023-10-07,2023-10-10,CUST026,Female,28,South,Electronics,Express,2,500,0.0,1000,1000.0,620.0,80.81,299.19,29.92,1,2023,10,Oct,26-35,True
28,2023-04-23,2023-04-26,CUST028,Female,43,South,Beauty,Standard,1,500,10.0,500,450.0,216.0,24.68,209.32,46.52,6,2023,4,Apr,36-45,False
29,2023-08-18,2023-08-21,CUST029,Female,42,West,Electronics,Standard,1,30,20.0,30,24.0,14.88,12.36,-3.24,-13.5,9,2023,8,Aug,36-45,True
30,2023-10-29,2023-10-31,CUST030,Female,39,West,Beauty,Economy,3,300,0.0,900,900.0,432.0,26.66,441.34,49.04,12,2023,10,Oct,36-45,False
31,2023-05-23,2023-05-24,CUST031,Male,44,North,Electronics,Priority,4,300,20.0,1200,960.0,595.2,93.39,271.41,28.27,4,2023,5,May,36-45,True
32,2023-01-04,2023-01-07,CUST032,Male,30,North,Beauty,Economy,3,30,25.0,90,67.5,32.4,24.26,10.84,16.06,15,2023,1,Jan,26-35,True
33,2023-03-23,2023-03-24,CUST033,Female,50,West,Electronics,Economy,2,50,20.0,100,80.0,49.6,14.35,16.05,20.06,18,2023,3,Mar,46-55,True
35,2023-08-05,2023-08-07,CUST035,Female,58,South,Beauty,Priority,3,300,5.0,900,855.0,410.4,103.29,341.31,39.92,4,2023,8,Aug,56-64,False
36,2023-06-24,2023-06-25,CUST036,Male,52,North,Beauty,Economy,3,300,20.0,900,720.0,345.6,18.44,355.96,49.44,9,2023,6,Jun,46-55,False
37,2023-05-23,2023-05-24,CUST037,Female,18,West,Beauty,Priority,3,25,0.0,75,75.0,36.0,63.24,-24.24,-32.32,3,2023,5,May,18-25,True
38,2023-03-21,2023-03-24,CUST038,Male,38,North,Beauty,Standard,4,50,5.0,200,190.0,91.2,42.28,56.52,29.75,8,2023,3,Mar,36-45,True
39,2023-04-21,2023-04-23,CUST039,Male,23,North,Clothing,Express,4,30,0.0,120,120.0,66.0,156.05,-102.05,-85.04,2,2023,4,Apr,18-25,True
40,2023-06-22,2023-06-23,CUST040,Male,45,East,Beauty,Standard,1,50,0.0,50,50.0,24.0,12.27,13.73,27.46,10,2023,6,Jun,36-45,True
41,2023-02-22,2023-02-25,CUST041,Male,34,East,Clothing,Economy,2,25,20.0,50,40.0,22.0,21.31,-3.31,-8.28,18,2023,2,Feb,26-35,True
42,2023-02-17,2023-02-19,CUST042,Male,22,East,Clothing,Priority,3,300,5.0,900,855.0,470.25,99.46,285.29,33.37,4,2023,2,Feb,18-25,False
43,2023-07-14,2023-07-16,CUST043,Female,48,South,Clothing,Standard,1,300,10.0,300,270.0,148.5,16.9,104.6,38.74,11,2023,7,Jul,46-55,False
44,2023-02-19,2023-02-22,CUST044,Female,22,West,Clothing,Priority,1,25,10.0,25,22.5,12.38,21.1,-10.98,-48.8,5,2023,2,Feb,18-25,True
46,2023-06-26,2023-06-29,CUST046,Female,20,West,Electronics,Standard,4,300,0.0,1200,1200.0,744.0,81.15,374.85,31.24,9,2023,6,Jun,18-25,False
47,2023-11-06,2023-11-09,CUST047,Female,40,West,Beauty,Standard,3,500,0.0,1500,1500.0,720.0,27.45,752.55,50.17,6,2023,11,Nov,36-45,False
48,2023-05-16,2023-05-19,CUST048,Male,54,East,Electronics,Priority,3,300,15.0,900,765.0,474.3,111.33,179.37,23.45,3,2023,5,May,46-55,True
49,2023-01-23,2023-01-24,CUST049,Female,54,South,Electronics,Express,2,500,10.0,1000,900.0,558.0,103.48,238.52,26.5,2,2023,1,Jan,46-55,True
50,2023-08-24,2023-08-25,CUST050,Female,27,South,Beauty,Priority,3,25,5.0,75,71.25,34.2,60.62,-23.57,-33.08,4,2023,8,Aug,26-35,True
52,2023-03-05,2023-03-06,CUST052,Female,36,South,Beauty,Economy,1,300,10.0,300,270.0,129.6,7.36,133.04,49.27,14,2023,3,Mar,36-45,False
53,2023-07-13,2023-07-14,CUST053,Male,34,East,Electronics,Express,2,50,5.0,100,95.0,58.9,73.26,-37.16,-39.12,2,2023,7,Jul,26-35,True
54,2023-02-10,2023-02-11,CUST054,Female,38,West,Electronics,Express,3,500,15.0,1500,1275.0,790.5,203.48,281.02,22.04,1,2023,2,Feb,36-45,True
55,2023-10-10,2023-10-13,CUST055,Male,31,East,Beauty,Economy,4,30,0.0,120,120.0,57.6,42.6,19.8,16.5,10,2023,10,Oct,26-35,True
56,2023-05-31,2023-06-02,CUST056,Female,26,West,Clothing,Express,3,300,10.0,900,810.0,445.5,170.28,194.22,23.98,2,2023,5,May,26-35,True
57,2023-11-18,2023-11-20,CUST057,Female,63,West,Beauty,Standard,1,30,20.0,30,24.0,11.52,15.86,-3.38,-14.08,11,2023,11,Nov,56-64,True
58,2023-11-13,2023-11-15,CUST058,Male,18,,Clothing,Standard,4,300,5.0,1200,1140.0,627.0,60.0,453.0,39.74,10,2023,11,Nov,18-25,False
59,2023-07-05,2023-07-07,CUST059,Male,62,East,Clothing,Priority,1,50,0.0,50,50.0,27.5,35.58,-13.08,-26.16,3,2023,7,Jul,56-64,True
60,2023-10-23,2023-10-24,CUST060,Male,30,North,Beauty,Priority,3,50,25.0,150,112.5,54.0,98.18,-39.68,-35.27,4,2023,10,Oct,26-35,True
61,2023-04-09,2023-04-10,CUST061,Male,21,East,Beauty,Priority,4,50,25.0,200,150.0,72.0,78.73,-0.73,-0.49,5,2023,4,Apr,18-25,True
62,2023-12-27,2023-12-30,CUST062,Male,18,East,Beauty,Standard,2,50,0.0,100,100.0,48.0,33.43,18.57,18.57,7,2023,12,Dec,18-25,True
63,2023-02-05,2023-02-07,CUST063,Male,57,North,Electronics,Standard,2,25,5.0,50,47.5,29.45,43.42,-25.37,-53.41,6,2023,2,Feb,56-64,True
64,2023-01-24,2023-01-25,CUST064,Male,49,North,Clothing,Standard,4,25,15.0,100,85.0,46.75,63.23,-24.98,-29.39,6,2023,1,Jan,46-55,True
65,2023-12-05,2023-12-06,CUST065,Male,51,East,Electronics,Standard,4,500,0.0,2000,2000.0,1240.0,35.53,724.47,36.22,7,2023,12,Dec,46-55,False
67,2023-05-29,2023-06-01,CUST067,Female,48,West,Beauty,Standard,4,300,0.0,1200,1200.0,576.0,45.69,578.31,48.19,10,2023,5,May,46-55,False
68,2023-02-10,2023-02-13,CUST068,Male,25,North,Electronics,Express,1,300,10.0,300,270.0,167.4,40.34,62.26,23.06,2,2023,2,Feb,18-25,True
69,2023-04-30,2023-05-01,CUST069,Female,56,West,Beauty,Economy,3,25,5.0,75,71.25,34.2,13.45,23.6,33.12,8,2023,4,Apr,56-64,False
70,2023-02-21,2023-02-22,CUST070,Female,43,South,Clothing,Standard,1,300,0.0,300,300.0,165.0,13.61,121.39,40.46,7,2023,2,Feb,36-45,False
72,2023-05-23,2023-05-25,CUST072,Female,20,South,Electronics,Priority,4,500,15.0,2000,1700.0,1054.0,128.09,517.91,30.47,4,2023,5,May,18-25,False
73,2023-08-21,2023-08-24,CUST073,Male,29,North,Electronics,Standard,3,30,0.0,90,90.0,55.8,34.45,-0.25,-0.28,10,2023,8,Aug,26-35,True
74,2023-11-22,2023-11-25,CUST074,Female,18,South,Beauty,Priority,4,500,20.0,2000,1600.0,768.0,166.81,665.19,41.57,4,2023,11,Nov,18-25,False
75,2023-07-06,2023-07-09,CUST075,Male,61,North,Beauty,Economy,4,50,20.0,200,160.0,76.8,43.66,39.54,24.71,16,2023,7,Jul,56-64,True
76,2023-03-25,2023-03-28,CUST076,Female,22,South,Electronics,Economy,2,50,5.0,100,95.0,58.9,21.67,14.43,15.19,12,2023,3,Mar,18-25,True
77,2023-07-09,2023-07-10,CUST077,Female,47,West,Clothing,Standard,2,50,0.0,100,100.0,55.0,24.12,20.88,20.88,7,2023,7,Jul,46-55,True
78,2023-07-01,2023-07-03,CUST078,Female,47,West,Clothing,Economy,3,500,20.0,1500,1200.0,660.0,21.18,518.82,43.24,17,2023,7,Jul,46-55,False
79,2023-04-18,2023-04-21,CUST079,Male,34,East,Beauty,Express,1,300,10.0,300,270.0,129.6,69.4,71.0,26.3,2,2023,4,Apr,26-35,True
80,2023-12-10,2023-12-12,CUST080,Female,64,West,Clothing,Standard,2,30,20.0,60,48.0,26.4,42.25,-20.65,-43.02,6,2023,12,Dec,56-64,True
81,2023-05-17,2023-05-19,CUST081,Male,40,East,Electronics,Express,1,50,20.0,50,40.0,24.8,31.09,-15.89,-39.72,1,2023,5,May,36-45,True
82,2023-12-26,2023-12-28,CUST082,Female,32,West,Beauty,Economy,4,50,20.0,200,160.0,76.8,14.35,68.85,43.03,18,2023,12,Dec,26-35,False
83,2023-12-16,2023-12-19,CUST083,Male,54,North,Electronics,Express,2,50,25.0,100,75.0,46.5,97.11,-68.61,-91.48,1,2023,12,Dec,46-55,True
84,2023-11-28,2023-11-29,CUST084,Female,38,West,Electronics,Standard,3,30,0.0,90,90.0,55.8,70.37,-36.17,-40.19,9,2023,11,Nov,36-45,True
85,2023-02-06,2023-02-09,CUST085,Male,31,East,Clothing,Priority,3,50,0.0,150,150.0,82.5,97.63,-30.13,-20.09,5,2023,2,Feb,26-35,True
86,2023-11-08,2023-11-10,CUST086,Male,19,East,Beauty,Standard,3,30,,90,81.0,38.88,49.39,-7.27,-8.98,8,2023,11,Nov,18-25,True
87,2023-11-22,2023-11-24,CUST087,Female,28,South,Beauty,Standard,2,50,0.0,100,100.0,48.0,19.59,32.41,32.41,8,2023,11,Nov,26-35,False
88,2023-03-29,2023-03-30,CUST088,Male,56,North,Clothing,Standard,1,500,25.0,500,375.0,206.25,19.17,149.58,39.89,7,2023,3,Mar,56-64,False
89,2023-10-01,2023-10-04,CUST089,Female,55,West,Electronics,Standard,4,500,5.0,2000,1900.0,1178.0,87.9,634.1,33.37,7,2023,10,Oct,46-55,False
90,2023-05-06,2023-05-08,CUST090,Female,51,South,Electronics,Standard,1,30,5.0,30,28.5,17.67,14.47,-3.64,-12.77,6,2023,5,May,46-55,True
91,2023-03-25,2023-03-26,CUST091,Female,55,West,Electronics,Standard,1,500,5.0,500,475.0,294.5,21.19,159.31,33.54,8,2023,3,Mar,46-55,False
93,2023-07-14,2023-07-15,CUST093,Female,35,South,Beauty,Standard,4,500,20.0,2000,1600.0,768.0,45.86,786.14,49.13,9,2023,7,Jul,26-35,False
94,2023-05-19,2023-05-20,CUST094,Female,47,South,Beauty,Standard,2,500,15.0,1000,850.0,408.0,33.79,408.21,48.02,7,2023,5,May,46-55,False
95,2023-11-24,2023-11-27,CUST095,Female,32,South,Clothing,Economy,2,30,0.0,60,60.0,33.0,11.17,15.83,26.38,13,2023,11,Nov,26-35,True
96,2023-12-19,2023-12-21,CUST096,Female,44,South,Clothing,Express,2,300,5.0,600,570.0,313.5,123.43,133.07,23.35,2,2023,12,Dec,36-45,True
97,2023-10-13,2023-10-16,CUST097,Female,51,South,Beauty,Priority,2,500,25.0,1000,750.0,360.0,67.19,322.81,43.04,4,2023,10,Oct,46-55,False
98,2023-04-23,2023-04-25,CUST098,Female,55,West,Beauty,Standard,2,50,10.0,100,90.0,43.2,37.58,9.22,10.24,8,2023,4,Apr,46-55,True
99,2023-12-17,2023-12-20,CUST099,Female,50,South,Electronics,Standard,4,300,0.0,1200,1200.0,744.0,86.26,369.74,30.81,8,2023,12,Dec,46-55,False
100,2023-06-16,2023-06-18,CUST100,Male,41,North,Electronics,Standard,1,30,20.0,30,24.0,14.88,14.73,-5.61,-23.38,10,2023,6,Jun,36-45,True
101,2023-01-29,2023-02-01,CUST101,Male,32,East,Clothing,Standard,2,300,0.0,600,600.0,330.0,47.11,222.89,37.15,11,2023,1,Jan,26-35,False
102,2023-04-28,2023-04-29,CUST102,Female,47,South,Beauty,Standard,2,25,10.0,50,45.0,21.6,34.12,-10.72,-23.82,9,2023,4,Apr,46-55,True
103,2023-01-17,2023-01-19,CUST103,Female,59,South,Clothing,Standard,1,25,20.0,25,20.0,11.0,10.69,-1.69,-8.45,8,2023,1,Jan,56-64,True
104,2023-06-11,2023-06-13,CUST104,Female,34,West,Beauty,Standard,2,500,15.0,1000,850.0,408.0,39.66,402.34,47.33,6,2023,6,Jun,26-35,False
105,2023-07-25,2023-07-26,CUST105,Female,22,South,Electronics,Standard,1,500,15.0,500,425.0,263.5,21.49,140.01,32.94,11,2023,7,Jul,18-25,False
106,2023-05-18,2023-05-21,CUST106,Female,46,South,Clothing,Express,1,50,10.0,50,45.0,24.75,42.67,-22.42,-49.82,2,2023,5,May,46-55,True
107,2023-02-03,2023-02-05,CUST107,Female,21,South,Clothing,Standard,4,300,15.0,1200,1020.0,561.0,90.29,368.71,36.15,9,2023,2,Feb,18-25,False
108,2023-04-19,2023-04-21,CUST108,Female,27,West,Beauty,Standard,3,25,5.0,75,71.25,34.2,70.21,-33.16,-46.54,8,2023,4,Apr,26-35,True
109,2023-10-18,2023-10-21,CUST109,Female,34,South,Electronics,Express,4,500,0.0,2000,2000.0,1240.0,164.3,595.7,29.78,2,2023,10,Oct,26-35,True
110,2023-06-11,2023-06-12,CUST110,Male,27,East,Clothing,Priority,3,300,0.0,900,900.0,495.0,133.67,271.33,30.15,5,2023,6,Jun,26-35,False
111,2023-04-19,2023-04-22,CUST111,Female,34,West,Electronics,Standard,3,500,0.0,1500,1500.0,930.0,31.18,538.82,35.92,7,2023,4,Apr,26-35,False
112,2023-12-02,2023-12-05,CUST112,Male,37,East,Clothing,Priority,3,500,20.0,1500,1200.0,660.0,70.36,469.64,39.14,4,2023,12,Dec,36-45,False
113,2023-09-13,2023-09-16,CUST113,Female,41,West,Electronics,Priority,2,25,0.0,50,50.0,31.0,45.95,-26.95,-53.9,3,2023,9,Sep,36-45,True
114,2023-07-22,2023-07-24,CUST114,Female,22,South,Beauty,Standard,4,25,25.0,100,75.0,36.0,92.79,-53.79,-71.72,7,2023,7,Jul,18-25,True
115,2023-11-26,2023-11-27,CUST115,Male,51,East,Clothing,Economy,3,500,0.0,1500,1500.0,825.0,26.67,648.33,43.22,13,2023,11,Nov,46-55,False
116,2023-08-23,2023-08-24,CUST116,Female,23,West,Clothing,Economy,1,30,0.0,30,30.0,16.5,4.37,9.13,30.43,10,2023,8,Aug,18-25,False
117,2023-03-15,2023-03-18,CUST117,Male,19,North,Electronics,Standard,2,500,10.0,1000,900.0,558.0,30.97,311.03,34.56,11,2023,3,Mar,18-25,False
118,2023-05-16,2023-05-18,CUST118,Female,30,South,Electronics,Standard,4,500,0.0,2000,2000.0,1240.0,73.84,686.16,34.31,8,2023,5,May,26-35,False
119,2023-03-13,2023-03-16,CUST119,Female,60,West,Clothing,Priority,3,50,25.0,150,112.5,61.88,60.76,-10.14,-9.01,4,2023,3,Mar,56-64,True
120,2023-05-07,2023-05-09,CUST120,Male,60,North,Beauty,Priority,1,50,25.0,50,37.5,18.0,41.83,-22.33,-59.55,3,2023,5,May,56-64,True
121,2023-10-15,2023-10-17,CUST121,Female,28,West,Electronics,Standard,4,50,25.0,200,150.0,93.0,86.65,-29.65,-19.77,6,2023,10,Oct,26-35,True
122,2023-10-03,2023-10-05,CUST122,Male,64,North,Electronics,Standard,4,30,0.0,120,120.0,74.4,66.35,-20.75,-17.29,11,2023,10,Oct,56-64,True
123,2023-05-15,2023-05-17,CUST123,Female,40,South,Electronics,Standard,2,30,0.0,60,60.0,37.2,48.88,-26.08,-43.47,6,2023,5,May,36-45,True
124,2023-10-27,2023-10-28,CUST124,Male,33,East,Clothing,Express,4,500,0.0,2000,2000.0,1100.0,186.84,713.16,35.66,1,2023,10,Oct,26-35,False
125,2023-08-08,2023-08-10,CUST125,Male,48,North,Clothing,Priority,2,50,10.0,100,90.0,49.5,89.14,-48.64,-54.04,5,2023,8,Aug,46-55,True
126,2023-10-26,2023-10-28,CUST126,Female,28,West,Clothing,Standard,3,30,5.0,90,85.5,47.03,58.06,-19.59,-22.91,9,2023,10,Oct,26-35,True
128,2023-07-05,2023-07-08,CUST128,Male,25,North,Beauty,Priority,1,500,25.0,500,375.0,180.0,22.48,172.52,46.01,3,2023,7,Jul,18-25,False
129,2023-04-23,2023-04-24,CUST129,Female,21,West,Beauty,Standard,2,300,0.0,600,600.0,288.0,45.99,266.01,44.33,9,2023,4,Apr,18-25,False
130,2023-03-12,2023-03-15,CUST130,Female,57,West,Clothing,Standard,1,500,5.0,500,475.0,261.25,15.27,198.48,41.79,6,2023,3,Mar,56-64,False
131,2023-09-18,2023-09-20,CUST131,Female,21,West,Beauty,Priority,2,300,5.0,600,570.0,273.6,44.76,251.64,44.15,5,2023,9,Sep,18-25,False
132,2023-09-10,2023-09-13,CUST132,Male,42,North,Electronics,Economy,4,50,20.0,200,160.0,99.2,12.45,48.35,30.22,17,2023,9,Sep,36-45,False
133,2023-02-16,2023-02-17,CUST133,Male,20,North,Electronics,Express,3,300,0.0,900,900.0,558.0,157.17,184.83,20.54,1,2023,2,Feb,18-25,True
134,2023-01-25,2023-01-28,CUST134,Male,49,North,Electronics,Express,1,50,0.0,50,50.0,31.0,51.1,-32.1,-64.2,2,2023,1,Jan,46-55,True
135,2023-02-26,2023-03-01,CUST135,Male,20,East,Clothing,Standard,2,25,0.0,50,50.0,27.5,40.46,-17.96,-35.92,10,2023,2,Feb,18-25,True
136,2023-03-20,2023-03-21,CUST136,Male,44,North,Electronics,Express,2,300,0.0,600,600.0,372.0,131.22,96.78,16.13,1,2023,3,Mar,36-45,True
137,2023-11-18,2023-11-19,CUST137,Male,46,North,Beauty,Express,2,500,5.0,1000,950.0,456.0,66.35,427.65,45.02,1,2023,11,Nov,46-55,False
138,2023-03-23,2023-03-25,CUST138,Male,49,North,Clothing,Standard,4,50,0.0,200,200.0,110.0,81.74,8.26,4.13,11,2023,3,Mar,46-55,True
139,2023-12-15,2023-12-18,CUST139,Male,36,East,Beauty,Standard,4,500,0.0,2000,2000.0,960.0,44.74,995.26,49.76,8,2023,12,Dec,36-45,False
140,2023-08-05,2023-08-07,CUST140,Male,38,North,Electronics,Standard,1,30,20.0,30,24.0,14.88,22.59,-13.47,-56.12,10,2023,8,Aug,36-45,True
141,2023-11-02,2023-11-05,CUST141,Female,22,West,Electronics,Standard,1,50,0.0,50,50.0,31.0,21.92,-2.92,-5.84,8,2023,11,Nov,18-25,True
142,2023-02-02,2023-02-05,CUST142,Male,35,North,Electronics,Standard,4,300,10.0,1200,1080.0,669.6,68.77,341.63,31.63,11,2023,2,Feb,26-35,False
143,2023-07-17,2023-07-19,CUST143,Female,45,West,Clothing,Standard,1,50,20.0,50,40.0,22.0,20.07,-2.07,-5.18,9,2023,7,Jul,36-45,True
144,2023-07-15,2023-07-18,CUST144,Female,59,West,Beauty,Standard,3,500,0.0,1500,1500.0,720.0,40.03,739.97,49.33,7,2023,7,Jul,56-64,False
145,2023-11-02,2023-11-05,CUST145,Female,39,West,Clothing,Standard,3,25,0.0,75,75.0,41.25,48.03,-14.28,-19.04,11,2023,11,Nov,36-45,True
146,2023-08-28,2023-08-31,CUST146,Male,38,East,Clothing,Economy,4,50,5.0,200,190.0,104.5,41.58,43.92,23.12,16,2023,8,Aug,36-45,True
147,2023-09-28,2023-09-29,CUST147,Male,23,East,Electronics,Express,1,300,0.0,300,300.0,186.0,48.37,65.63,21.88,1,2023,9,Sep,18-25,True
148,2023-05-09,2023-05-11,CUST148,Male,18,East,Clothing,Priority,2,30,0.0,60,60.0,33.0,55.32,-28.32,-47.2,3,2023,5,May,18-25,True
151,2023-12-15,2023-12-17,CUST151,Male,29,East,Clothing,Standard,1,50,0.0,50,50.0,27.5,13.7,8.8,17.6,9,2023,12,Dec,26-35,True
152,2023-02-28,2023-03-03,CUST152,Male,43,East,Electronics,Express,4,500,15.0,2000,1700.0,1054.0,147.8,498.2,29.31,1,2023,2,Feb,36-45,True
153,2023-12-16,2023-12-18,CUST153,Male,63,North,Electronics,Express,2,500,25.0,1000,750.0,465.0,116.96,168.04,22.41,1,2023,12,Dec,56-64,True
154,2023-10-02,2023-10-03,CUST154,Male,51,East,Electronics,Priority,3,300,10.0,900,810.0,502.2,120.9,186.9,23.07,3,2023,10,Oct,46-55,True
155,2023-05-17,2023-05-18,CUST155,Male,31,North,Electronics,Express,4,500,20.0,2000,1600.0,992.0,136.1,471.9,29.49,2,2023,5,May,26-35,True
156,2023-11-25,2023-11-26,CUST156,Female,43,South,Clothing,Standard,4,25,0.0,100,100.0,55.0,48.31,-3.31,-3.31,8,2023,11,Nov,36-45,True
157,2023-06-24,2023-06-26,CUST157,Male,62,East,Electronics,Standard,4,500,5.0,2000,1900.0,1178.0,41.65,680.35,35.81,6,2023,6,Jun,56-64,False
158,2023-02-27,2023-02-28,CUST158,Female,44,South,Electronics,Standard,2,300,20.0,600,480.0,297.6,27.83,154.57,32.2,7,2023,2,Feb,36-45,False
159,2023-05-31,2023-06-02,CUST159,Male,26,North,Clothing,Priority,4,50,25.0,200,150.0,82.5,120.64,-53.14,-35.43,3,2023,5,May,26-35,True
160,2023-08-11,2023-08-12,CUST160,Female,43,West,Clothing,Express,2,50,0.0,100,100.0,55.0,119.91,-74.91,-74.91,1,2023,8,Aug,36-45,True
161,2023-03-22,2023-03-23,CUST161,Male,64,East,Beauty,Standard,2,500,,1000,1000.0,480.0,38.14,481.86,48.19,11,2023,3,Mar,56-64,False
162,2023-08-21,2023-08-23,CUST162,Male,39,North,Clothing,Economy,2,30,0.0,60,60.0,33.0,17.18,9.82,16.37,17,2023,8,Aug,36-45,True
163,2023-01-02,2023-01-03,CUST163,Female,64,West,Clothing,Priority,3,50,15.0,150,127.5,70.12,82.54,-25.16,-19.73,4,2023,1,Jan,56-64,True
164,2023-05-15,2023-05-18,CUST164,Female,47,West,Beauty,Standard,3,500,10.0,1500,1350.0,648.0,66.91,635.09,47.04,11,2023,5,May,46-55,False
165,2023-09-14,2023-09-16,CUST165,Female,60,South,Clothing,Standard,4,300,10.0,1200,1080.0,594.0,64.05,421.95,39.07,6,2023,9,Sep,56-64,False
166,2023-04-02,2023-04-04,CUST166,Male,34,North,Clothing,Standard,4,500,0.0,2000,2000.0,1100.0,98.58,801.42,40.07,7,2023,4,Apr,26-35,False
167,2023-09-17,2023-09-19,CUST167,Female,43,West,Clothing,Standard,3,50,15.0,150,127.5,70.12,56.34,1.04,0.82,7,2023,9,Sep,36-45,True
168,2023-02-24,2023-02-27,CUST168,Male,53,East,Clothing,Standard,1,300,0.0,300,300.0,165.0,10.15,124.85,41.62,8,2023,2,Feb,46-55,False
169,2023-11-17,2023-11-19,CUST169,Male,18,East,Beauty,Standard,3,500,0.0,1500,1500.0,720.0,58.49,721.51,48.1,11,2023,11,Nov,18-25,False
170,2023-06-02,2023-06-03,CUST170,Female,25,South,Clothing,Standard,2,25,25.0,50,37.5,20.62,27.05,-10.17,-27.12,7,2023,6,Jun,18-25,True
171,2023-11-24,2023-11-25,CUST171,Female,52,West,Clothing,Standard,3,300,0.0,900,900.0,495.0,59.0,346.0,38.44,8,2023,11,Nov,46-55,False
172,2023-09-17,2023-09-18,CUST172,Male,32,North,Beauty,Economy,2,25,20.0,50,40.0,19.2,7.25,13.55,33.88,11,2023,9,Sep,26-35,False
173,2023-11-08,2023-11-10,CUST173,Male,64,East,Electronics,Standard,4,30,10.0,120,108.0,66.96,43.89,-2.85,-2.64,8,2023,11,Nov,56-64,True
174,2023-04-12,2023-04-13,CUST174,Female,39,West,Beauty,Express,1,300,0.0,300,300.0,144.0,64.23,91.77,30.59,1,2023,4,Apr,36-45,False
